param_name,param_value,converged,m_dot_gs,P_high_kPa,P_low_kPa,T_wall_max_C,Q_evap_W,Q_cond_W,W_pump_W,COP,T_coolant_C,pump_dP_kPa,HTC_avg,x_out,T_wall_avg_C,dP_evap_kPa,G_ch,subcooling_K,dP_cond_kPa,NTU
T_coolant,268.15,True,2.537473861350105,414.79586133399715,414.6075400702044,129.80618445379423,605.0000000000001,532.9968733935326,0.00047126796296500677,1283770.6942640687,-5.0,0.18839397133747116,1662.5150482366153,1.0,84.3032863469877,0.16439210278487337,46.135888388183716,14.091536414044526,0.0239291610079104,2.802260063916883
T_coolant,270.92777777777775,True,2.568244578988823,454.63116399906016,454.4528971689787,135.157905191459,605.0000000000001,533.7236616790366,0.0004549299680212311,1329875.0192947618,-2.2222222222222285,0.1783258507954306,1692.1757481130105,1.0,87.59225893532494,0.15376378478091876,46.69535598161496,14.037079666779903,0.02450304530056061,2.7442287934729324
T_coolant,273.7055555555555,True,2.600446965485637,497.3160194289587,497.1467700181726,139.66343770199438,605.0000000000001,534.4818328403481,0.00044071817989396327,1372759.3450888798,0.5555555555555429,0.16929767866258044,1730.903641920686,1.0,90.87582968302274,0.14413431015078101,47.280853917920666,13.979125510450615,0.0251151006352494,2.6859469089601054
T_coolant,276.4833333333333,True,2.6341985699180337,542.9801977473977,542.8190332459446,134.21359443856977,605.0000000000001,535.2738949244448,0.0004284825582486397,1411959.4563495184,3.3333333333333144,0.16120426630426665,1742.1005181436824,1.0,93.79755256660229,0.1353955325096144,47.89451945305515,13.917396273975214,0.02576896894339573,2.627380627510209
T_coolant,279.26111111111106,True,2.6696304661629937,591.7558850781058,591.6019631066608,136.49117058839306,605.0000000000001,536.1026454376166,0.0004181017917353464,1447016.0424066256,6.111111111111086,0.1539549699255731,1757.4364382579865,1.0,96.74311285840082,0.12745318586876078,48.53873574841806,13.851585510565315,0.026468785576229465,2.5684938453912585
T_coolant,282.0388888888889,True,2.706889374192676,643.7777199455824,643.6302757136247,141.35936672450651,605.0000000000001,536.9712169351957,0.0004094812077233113,1477479.2800962967,8.888888888888914,0.14747181331063622,1777.375984792628,1.0,99.70837553354647,0.1202249668140764,49.21617043986682,13.781354028829867,0.027219265143604506,2.5092478485632594
T_coolant,284.81666666666666,True,2.7461401983623515,699.1828501156068,699.0411853932258,146.1639713387682,605.0000000000001,537.8831318140005,0.00040255142021976465,1502913.589696722,11.666666666666686,0.14168794151092878,1802.4972509444592,1.0,102.6888753639343,0.1136389164257465,49.929821788406386,13.706325243527658,0.028025805955336783,2.4496009756681367
T_coolant,287.59444444444443,True,2.7875690838009124,758.1110123769156,757.9744857046704,145.97302441529638,605.0000000000001,538.8423686169058,0.0003972677077517983,1522902.5369914717,14.444444444444457,0.13654635905788745,1835.2601107133746,1.0,105.43351540781049,0.10763205429904764,50.683074250925685,13.6260796963615,0.028894617946099575,2.389508222862848
T_coolant,290.3722222222222,True,2.8313871215273694,820.7046382405257,820.5726561343762,144.32425976994347,605.0000000000001,539.8534428739251,0.0003936101511604302,1537053.8544708677,17.22222222222223,0.13199891753995324,1876.7977371160778,1.0,107.94447620331016,0.10214922565911772,51.479765845952166,13.540148557445718,0.029832880490509497,2.3289207765786584
T_coolant,293.15,True,2.8778348726220213,887.1089891358456,886.9809980674332,148.7318770925831,605.0000000000001,540.9215064831899,0.0003915846060352309,1545004.5550196327,20.0,0.12800552748446353,1926.5637736854892,1.0,110.47238633557185,0.09714212981177284,52.32427041130948,13.448005864738036,0.03084893860053158,2.2677854557917145
